title,artist,Hit
Hold On,Wilson Phillips,True
It Must Have Been Love,Roxette,True
Nothing Compares 2 U,Sinead O'Connor,True
Poison,Bell Biv Devoe,True
Vogue,Madonna,True
Vision Of Love,Mariah Carey,True
Another Day In Paradise,Phil Collins,True
Hold On,En Vogue,True
Cradle Of Love,Billy Idol,True
Blaze Of Glory,Jon Bon Jovi,True
Do Me!,Bell Biv Devoe,True
How Am I Supposed To Live Without You,Michael Bolton,True
Pump Up The Jam,Technotronic,True
Opposites Attract,Paula Abdul,True
Escapade,Janet Jackson,True
All I Wanna Do Is Make Love To You,Heart,True
Close To You,Maxi Priest,True
Black Velvet,Alannah Myles,True
Release Me,Wilson Phillips,True
Don't Know Much,Linda Ronstadt,True
What's Love Got To Do With It,Tina Turner,True
Say Say Say,Paul McCartney,True
Footloose,Kenny Loggins,True
Against All Odds,Phil Collins,True
Jump,Van Halen,True
Hello,Lionel Richie,True
Owner Of A Lonely Heart,Yes,True
Ghostbusters,Ray Parker Jr.,True
Karma Chameleon,Culture Club,True
Missing You,John Waite,True
All Night Long,Lionel Richie,True
Let's Hear It For The Boy,Deniece Williams,True
Dancing In The Dark,Bruce Springsteen,True
Girls Just Want To Have Fun,Cyndi Lauper,True
Time After Time,Cyndi Lauper,True
Jump,Pointer Sisters,True
Self Control,Laura Branigan,True
Like A Virgin,Madonna,True
I Want To Know What Love Is,Foreigner,True
I Feel For You,Chaka Khan,True
Out Of Touch,Daryl Hall and John Oates,True
Everybody Wants To Rule The World,Tears For Fears,True
Money For Nothing,Dire Straits,True
Crazy For You,Madonna,True
Take On Me,a-ha,True
Everytime You Go Away,Paul Young,True
Can't Fight This Feeling,REO Speedwagon,True
We Built This City,Starship,True
The Power Of Love,Huey Lewis and The News,True
Don't You,Simple Minds,True
Cherish,Kool and The Gang,True
St. Elmo's Fire,John Parr,True
The Heat Is On,Glenn Frey,True
(Everything I Do) I Do It For You,Bryan Adams,True
Gonna Make You Sweat,C+C Music Factory,True
Rush Rush,Paula Abdul,True
Unbelievable,EMF,True
More Than Words,Extreme,True
The First Time,Surface,True
Motownphilly,Boyz II Men,True
Because I Love You,Stevie B,True
Someday,Mariah Carey,True
All The Man That I Need,Whitney Houston,True
"Right Here, Right Now",Jesus Jones,True
Love Will Never Do,Janet Jackson,True
Good Vibrations,Marky Mark and The Funky Bunch,True
Shadow Dancing,Andy Gibb,True
Night Fever,Bee Gees,True
Stayin' Alive,Bee Gees,True
Kiss You All Over,Exile,True
How Deep Is Your Love,Bee Gees,True
Baby Come Back,Player,True
(Love Is) Thicker Than Water,Andy Gibb,True
Three Times A Lady,Commodores,True
Grease,Frankie Valli,True
You're The One That I Want,John Travolta,True
Lay Down Sally,Eric Clapton,True
Miss You,Rolling Stones,True
Just The Way You Are,Billy Joel,True
With A Little Luck,Wings,True
If I Can't Have You,Yvonne Elliman,True
"Dance, Dance, Dance",Chic,True
Walk Like An Egyptian,Bangles,True
Alone,Heart,True
I Wanna Dance With Somebody,Whitney Houston,True
Nothing's Gonna Stop Us Now,Starship,True
C'est La Vie,Robbie Nevil,True
Here I Go Again,Whitesnake,True
The Way It Is,Bruce Hornsby and The Range,True
Shakedown,Bob Seger,True
Livin' On A Prayer,Bon Jovi,True
La Bamba,Los Lobos,True
Everybody Have Fun Tonight,Wang Chung,True
Don't Dream It's Over,Crowded House,True
Always,Atlantic Starr,True
With Or Without You,U2,True
Looking For A New Love,Jody Watley,True
Mony Mony,Billy Idol,True
I Will Always Love You,Whitney Houston,True
Can't Help Falling In Love,UB40,True
That's The Way Love Goes,Janet Jackson,True
Weak,SWV,True
If I Ever Fall In Love,Shai,True
Dreamlover,Mariah Carey,True
Rump Shaker,Wreckx-N-Effect,True
Informer,Snow,True
"Nuthin' But A ""G"" Thang",Dr. Dre,True
In The Still Of The Nite,Boyz II Men,True
Don't Walk Away,Jade,True
Lately,Jodeci,True
Show Me Love,Robin S.,True
A Whole New World,Peabo Bryson,True
If,Janet Jackson,True
I'm So Into You,SWV,True
End Of The Road,Boyz II Men,True
Baby Got Back,Sir Mix-a-Lot,True
Jump,Kris Kross,True
Tears In Heaven,Eric Clapton,True
My Lovin',En Vogue,True
Under The Bridge,Red Hot Chili Peppers,True
Just Another Day,Jon Secada,True
I Love Your Smile,Shanice,True
To Be With You,Mr. Big,True
I'm Too Sexy,Right Said Fred,True
Black Or White,Michael Jackson,True
Achy Breaky Heart,Billy Ray Cyrus,True
I'll Be There,Mariah Carey,True
November Rain,Guns N' Roses,True
Life Is A Highway,Tom Cochrane,True
Remember The Time,Michael Jackson,True
Finally,CeCe Peniston,True
MMMBop,Hanson,True
"Say You, Say Me",Lionel Richie,True
On My Own,Patti Labelle,True
Broken Wings,Mr. Mister,True
How Will I Know,Whitney Houston,True
Party All The Time,Eddie Murphy,True
Burning Heart,Survivor,True
Kyrie,Mr. Mister,True
Addicted To Love,Robert Palmer,True
Greatest Love Of All,Whitney Houston,True
Secret Lovers,Atlantic Starr,True
Centerfold,J. Geils Band,True
West End Girls,Pet Shop Boys,True
There'll Be Sad Songs,Billy Ocean,True
Alive And Kicking,Simple Minds,True
Never,Heart,True
Higher Love,Steve Winwood,True
Le Freak,Chic,True
Da Ya Think I'm Sexy,Rod Stewart,True
I Will Survive,Gloria Gaynor,True
Y.M.C.A.,Village People,True
Ring My Bell,Anita Ward,True
Too Much Heaven,Bee Gees,True
When You're In Love With A Beautiful Woman,Dr. Hook,True
Fire,Pointer Sisters,True
Tragedy,Bee Gees,True
A Little More Love,Olivia Newton-John,True
Heart Of Glass,Blondie,True
What A Fool Believes,Doobie Brothers,True
Good Times,Chic,True
"Sugar, Sugar",Archies,True
I Can't Get Next To You,Temptations,True
Honky Tonk Women,Rolling Stones,True
Everyday People,Sly and The Family Stone,True
Dizzy,Tommy Roe,True
Hot Fun In The Summertime,Sly and The Family Stone,True
I'll Never Fall In Love Again,Tom Jones,True
Crimson And Clover,Tommy James and The Shondells,True
One,Three Dog Night,True
Crystal Blue Persuasion,Tommy James and The Shondells,True
Hair,Cowsills,True
Too Busy Thinking About My Baby,Marvin Gaye,True
Suspicious Minds,Elvis Presley,True
Proud Mary,Creedence Clearwater Revival,True
Physical,Olivia Newton-John,True
Eye Of The Tiger,Survivor,True
I Love Rock N' Roll,Joan Jett,True
Ebony And Ivory,Paul McCartney,True
Poor Side Of Town,Johnny Rivers,True
Don't You Want Me,Human League,True
Abracadabra,Steve Miller Band,True
Hard To Say I'm Sorry,Chicago,True
Tainted Love,Soft Cell,True
I Can't Go For That,Daryl Hall,True
Waiting For A Girl Like You,Foreigner,True
Don't Talk To Strangers,Rick Springfield,True
One Sweet Day,Mariah Carey,True
Because You Loved Me,Celine Dion,True
Always Be My Baby,Mariah Carey,True
Give Me One Reason,Tracy Chapman,True
Tha Crossroads,Bone Thugs-N-Harmony,True
Twisted,Keith Sweat,True
Missing,Everything But The Girl,True
Ironic,Alanis Morissette,True
Exhale,Whitney Houston,True
Sittin' Up In My Room,Brandy,True
It's All Coming Back To Me Now,Celine Dion,True
Change The World,Eric Clapton,True
Hey Lover,LL Cool J,True
I'll Be Missing You,Puff Daddy,True
Un-Break My Heart,Toni Braxton,True
Can't Nobody Hold Me Down,Puff Daddy,True
I Believe I Can Fly,R. Kelly,True
Don't Let Go,En Vogue,True
Return Of The Mack,Mark Morrison,True
How Do I Live,LeAnn Rimes,True
Wannabe,Spice Girls,True
Quit Playing Games,Backstreet Boys,True
You Make Me Wanna...,Usher,True
Bitch,Meredith Brooks,True
Nobody,Keith Sweat,True
Semi-Charmed Life,Third Eye Blind,True
Mo Money Mo Problems,Notorious B.I.G.,True
Every Breath You Take,Police,True
Billie Jean,Michael Jackson,True
Flashdance... What A Feeling,Irene Cara,True
Down Under,Men At Work,True
Beat It,Michael Jackson,True
Total Eclipse Of The Heart,Bonnie Tyler,True
Maneater,Daryl Hall and John Oates,True
Sweet Dreams,Eurythmics,True
Do You Really Want To Hurt Me,Culture Club,True
You And I,Eddie Rabbitt,True
Come On Eileen,Dexy's Midnight Runners,True
Shame On The Moon,Bob Seger,True
Never Gonna Let You Go,Sergio Mendes,True
Let's Dance,David Bowie,True
Twilight Zone,Golden Earring,True
Hey Jude,Beatles,True
(Sittin' On) The Dock Of The Bay,Otis Redding,True
This Guy's In Love With You,Herb Alpert,True
Mrs. Robinson,Simon and Garfunkel,True
Harper Valley P.T.A.,Jeannie C. Riley,True
"Hello, I Love You",Doors,True
Cry Like A Baby,Box Tops,True
Dance To The Music,Sly and The Family Stone,True
Gangsta's Paradise,Coolio,True
On Bended Knee,Boyz II Men,True
Fantasy,Mariah Carey,True
Take A Bow,Madonna,True
This Is How We Do It,Montell Jordan,True
Water Runs Dry,Boyz II Men,True
Freak Like Me,Adina Howard,True
Run-Around,Blues Traveler,True
Have You Ever Really Loved A Woman?,Bryan Adams,True
Always,Bon Jovi,True
You Gotta Be,Des'ree,True
Bette Davis Eyes,Kim Carnes,True
Endless Love,Diana Ross,True
Lady,Kenny Rogers,True
(Just Like) Starting Over,John Lennon,True
Jessie's Girl,Rick Springfield,True
Celebration,Kool and The Gang,True
Kiss On My List,Daryl Hall and John Oates,True
I Love A Rainy Night,Eddie Rabbitt,True
9 To 5,Dolly Parton,True
Keep On Loving You,REO Speedwagon,True
Morning Train,Sheena Easton,True
Being With You,Smokey Robinson,True
Rapture,Blondie,True
A Woman Needs Love,Ray Parker Jr.,True
The Tide Is High,Blondie,True
Just The Two Of Us,Grover Washington Jr.,True
Slow Hand,Pointer Sisters,True
I Love You,Climax Blues Band,True
Call Me,Blondie,True
Magic,Olivia Newton-John,True
Rock With You,Michael Jackson,True
Do That To Me One More Time,Captain and Tennille,True
Coming Up,Paul McCartney,True
Funkytown,"Lipps, Inc.",True
It's Still Rock And Roll To Me,Billy Joel,True
Cars,Gary Numan,True
Cruisin',Smokey Robinson,True
Lost In Love,Air Supply,True
Little Jeannie,Elton John,True
Ride Like The Wind,Christopher Cross,True
Upside Down,Diana Ross,True
Please Don't Go,K.C. and The Sunshine Band,True
Babe,Styx,True
The Sign,Ace Of Base,True
I'll Make Love To You,Boyz II Men,True
The Power Of Love,Celine Dion,True
Hero,Mariah Carey,True
Stay,Lisa Loeb,True
Breathe Again,Toni Braxton,True
All For Love,"Bryan Adams, Rod Stewart and Sting",True
All That She Wants,Ace Of Base,True
Don't Turn Around,Ace Of Base,True
Bump N' Grind,R. Kelly,True
Again,Janet Jackson,True
I'll Remember,Madonna,True
Whatta Man,Salt-N-Pepa,True
Wild Night,John Mellencamp,True
You Mean The World To Me,Toni Braxton,True
Can You Feel The Love Tonight,Elton John,True
Fantastic Voyage,Coolio,True
Low,Flo Rida,True
Bleeding Love,Leona Lewis,True
No One,Alicia Keys,True
Lollipop,Lil Wayne,True
Apologize,Timbaland,True
No Air,Jordin Sparks,True
Love Song,Sara Bareilles,True
Love In This Club,Usher,True
Sexy Can I,Ray J,True
Take A Bow,Rihanna,True
Viva La Vida,Coldplay,True
I Kissed A Girl,Katy Perry,True
Disturbia,Rihanna,True
Don't Stop the Music,Rihanna,True
Pocketful of Sunshine,Natasha Bedingfield,True
Closer,Ne-Yo,True
Boom Boom Pow,Black Eyed Peas,True
Poker Face,Lady Gaga,True
Just Dance,Lady Gaga,True
I Gotta Feeling,Black Eyed Peas,True
Love Story,Taylor Swift,True
Right Round,Flo Rida,True
I'm Yours,Jason Mraz,True
Single Ladies,Beyonce,True
Heartless,Kanye West,True
Gives You Hell,All-American Rejects,True
You Belong With Me,Taylor Swift,True
Use Somebody,Kings Of Leon,True
Knock You Down,Keri Hilson,True
Blame It,Jamie Foxx,True
I Know You Want Me,Pitbull,True
Down,Jay Sean,True
Hanging By A Moment,Lifehouse,True
Fallin',Alicia Keys,True
Drops Of Jupiter,Train,True
I'm Real,Jennifer Lopez,True
If You're Gone,matchbox twenty,True
Again,Lenny Kravitz,True
Independent Women Part I,Destiny's Child,True
Hit 'Em Up Style,Blu Cantrell,True
It Wasn't Me,Shaggy,True
It's Been Awhile,Staind,True
U Remind Me,Usher,True
Angel,Shaggy,True
Follow Me,Uncle Kracker,True
Peaches and Cream,112,True
Uptown Funk!,Mark Ronson,True
Thinking Out Loud,Ed Sheeran,True
See You Again,Wiz Khalifa,True
Trap Queen,Fetty Wap,True
Sugar,Maroon 5,True
Shut Up and Dance,Walk The Moon,True
Blank Space,Taylor Swift,True
Earned It,The Weeknd,True
The Hills,The Weeknd,True
